config,n_steps,fallback_rate,indep_solved_rate,indep_mean_iters,indep_feas_resid_max,applied_feas_resid_max,du_max,du_mean,du_max_on_fallback,du_max_on_solved,J_T_production,J_T_clarabel,DeltaJ_T,cap_viol_prod,cap_viol_clarabel
ladder_soft,9000,0.0264,1.0,10.89,2.48e-09,1.28e-08,3.478e-01,9.128e-04,3.478e-01,1.727e-04,3.4085,3.408,-5.731e-04,0.0,0.0
ladder_feasible,9000,0.0781,1.0,10.83,1.53e-08,1.46e-08,3.755e-01,6.119e-03,3.755e-01,1.486e-04,11.8183,11.8163,-1.954e-03,0.0,0.0
ladder_borderline-low,9000,0.1266,1.0,10.8,5.01e-09,1.45e-08,4.459e-01,1.931e-02,4.459e-01,1.356e-03,27.9575,27.9561,-1.343e-03,0.0,0.0
ladder_borderline-mid,9000,0.1883,1.0,10.86,1.22e-08,1.29e-08,4.951e-01,4.285e-02,4.951e-01,6.058e-03,54.7525,54.7471,-5.416e-03,0.0,0.0
ladder_borderline-high,9000,0.6423,1.0,9.61,7.50e-08,1.29e-08,5.409e-01,2.262e-01,5.409e-01,1.572e-01,118.9705,118.939,-3.152e-02,0.0,0.0
ladder_hard-stress,9000,0.7417,1.0,9.84,6.24e-08,1.18e-08,7.728e-01,2.596e-01,7.728e-01,2.097e-02,171.0286,161.2429,-9.786e+00,0.0,0.0
ladder_extreme-infeasible,9000,0.7962,1.0,9.86,5.85e-08,1.15e-08,7.028e-01,2.769e-01,7.028e-01,4.870e-01,297.788,278.4039,-1.938e+01,0.0,0.0
N15_a,9000,0.0017,1.0,11.38,7.49e-10,2.17e-08,3.897e-04,1.235e-06,3.897e-04,3.131e-05,0.4142,0.4143,+4.109e-05,0.0,0.0
N15_b,42000,0.0,1.0,11.62,0.00e+00,0.00e+00,6.596e-07,1.957e-07,0.000e+00,6.596e-07,0.1653,0.1653,+7.378e-06,0.0,0.0
N15_c,27000,0.0041,1.0,11.38,1.85e-08,2.10e-08,2.221e-03,6.156e-06,2.221e-03,3.114e-05,1.54,1.5401,+1.287e-04,0.0,0.0
N60_a,36000,0.0023,1.0,11.45,8.10e-09,2.10e-08,1.476e-03,2.463e-06,1.476e-03,3.681e-05,2.3253,2.3252,-2.249e-05,0.0,0.0
N60_b,168000,0.0,1.0,11.63,0.00e+00,0.00e+00,6.491e-07,1.887e-07,0.000e+00,6.491e-07,1.2207,,,0.0,
N60_c,108000,0.0085,1.0,10.64,3.77e-10,2.31e-08,2.382e-03,1.691e-04,2.382e-03,3.102e-05,7.3944,,,0.0,
